Scan #,Time,Uniaxial Gage C2A-13-250LW-120 on S1-Ch1 microstrain,Uniaxial Gage C2A-13-250LW-120 on S1-Ch2 microstrain
1226,0.00:00:12.26,34.00,-8.00
1227,0.00:00:12.27,34.00,-8.00
1228,0.00:00:12.28,34.00,-8.00
1229,0.00:00:12.29,34.00,-8.00
1230,0.00:00:12.30,34.00,-8.00
1231,0.00:00:12.31,34.00,-8.00
1232,0.00:00:12.32,33.00,-8.00
1233,0.00:00:12.33,34.00,-8.00
1234,0.00:00:12.34,34.00,-8.00
1235,0.00:00:12.35,34.00,-8.00
1236,0.00:00:12.36,34.00,-8.00
1237,0.00:00:12.37,34.00,-8.00
1238,0.00:00:12.38,34.00,-8.00
1239,0.00:00:12.39,34.00,-8.00
1240,0.00:00:12.40,34.00,-8.00
1241,0.00:00:12.41,34.00,-8.00
1242,0.00:00:12.42,34.00,-8.00
1243,0.00:00:12.43,34.00,-8.00
1244,0.00:00:12.44,34.00,-8.00
